ingredient_id,product_ndc
0,77006-013
0,77006-034
0,77006-020
0,77006-030
0,77006-060
0,77006-006
0,77006-007
0,77006-033
0,77006-061
0,77006-003
0,77006-035
0,77006-001
0,77006-012
0,77006-031
0,77006-005
0,77006-032
1,77027-112
1,77267-004
1,77578-001
1,78323-103
1,78691-200
1,78755-001
1,78868-003
1,79587-100
1,79624-002
1,80204-008
1,80204-023
1,80204-033
1,80204-044
1,80313-008
1,80552-001
1,80948-004
1,80948-012
1,42509-020
1,43473-221
1,50157-507
1,50157-513
1,51531-8735
1,51706-901
1,52000-400
1,52985-901
1,54860-390
1,54860-391
1,56136-310
1,58133-959
1,58133-961
1,58133-962
1,58133-963
1,70888-002
1,71513-104
1,71734-334
1,72285-011
1,73788-003
1,73905-011
1,73928-005
1,73928-006
1,73931-002
1,73931-004
1,73931-005
1,73931-006
1,74156-005
1,74168-006
1,74602-775
1,74621-023
1,74621-024
1,75109-513
1,75269-004
1,75427-017
1,75617-002
1,75742-002
1,76626-001
1,77027-325
1,77145-002
1,77343-111
1,79138-001
1,79586-101
1,80204-002
1,80204-007
1,80313-002
1,80334-0731
1,80948-010
1,81263-002
1,81263-005
1,81361-001
1,83170-101
1,41167-0751
1,42509-010
1,43473-034
1,43473-060
1,43473-115
1,50157-225
1,51706-900
1,51706-920
1,51706-921
1,54860-400
1,56084-016
1,58428-007
1,70415-511
1,71441-180
1,71650-003
1,71726-003
1,73788-110
1,73905-013
1,73928-004
1,73928-007
1,74620-049
1,74621-015
1,74763-012
1,75109-005
1,75427-010
1,75427-011
1,75742-003
1,75742-010
1,76679-002
1,78702-008
1,79138-003
1,80125-002
1,80204-025
1,80204-028
1,80204-034
1,80204-046
1,80313-016
1,80333-001
1,80948-018
1,81793-187
1,81987-001
1,82999-001
1,47993-319
1,51706-909
1,54983-007
1,56084-015
1,64646-420
1,69491-035
1,70335-011
1,70797-160
1,71650-007
1,71650-009
1,72728-004
1,72956-100
1,73905-002
1,73931-018
1,74934-080
1,75690-001
1,75742-001
1,75779-005
1,76626-004
1,77243-103
1,77313-875
1,77512-002
1,78702-002
1,79774-011
1,80204-016
1,80204-048
1,80313-004
1,81614-075
1,81630-003
1,40562-017
1,41366-016
1,43473-118
1,43473-219
1,43473-275
1,54699-002
1,70108-034
1,70445-414
1,71650-002
1,71650-008
1,71650-010
1,73788-102
1,73931-015
1,74047-002
1,74139-444
1,75109-512
1,75269-006
1,75269-011
1,75427-002
1,75427-003
1,75742-004
1,75742-012
1,75771-235
1,76243-338
1,76824-001
1,76982-3864
1,79203-002
1,80204-013
1,80204-039
1,80334-0831
1,81263-001
1,82033-017
1,90039-100
1,43473-059
1,52000-403
1,54860-398
1,56084-018
1,56136-312
1,58133-965
1,64646-082
1,71650-006
1,73720-0236
1,73720-1000
1,73905-030
1,73928-002
1,73931-010
1,74201-020
1,74496-9751
1,74621-009
1,74621-029
1,74934-088
1,75109-502
1,75109-520
1,75269-007
1,75427-006
1,75427-015
1,75617-003
1,75742-016
1,75771-006
1,75771-242
1,76679-008
1,76679-016
1,76860-004
1,77343-101
1,78702-335
1,78918-101
1,79138-004
1,79280-001
1,80204-004
1,80204-022
1,81263-004
1,81323-621
1,82901-002
1,43473-218
1,50157-506
1,52000-404
1,56084-019
1,56084-027
1,56136-027
1,56136-305
1,58428-004
1,58503-803
1,71734-306
1,71874-100
1,73720-0500
1,73788-002
1,73788-004
1,73788-105
1,73788-107
1,73931-003
1,73931-017
1,74274-008
1,74839-003
1,74934-087
1,75109-514
1,75262-002
1,75427-008
1,75427-013
1,75524-006
1,75720-001
1,75742-006
1,75771-232
1,75771-243
1,76982-3866
1,77060-101
1,78615-001
1,79138-002
1,80204-006
1,80204-009
1,80204-012
1,80204-024
1,80204-029
1,80204-030
1,80204-032
1,80204-036
1,80204-042
1,80204-047
1,80948-001
1,80948-003
1,90015-001
1,90015-002
1,42509-013
1,50157-520
1,52000-405
1,54699-001
1,54860-393
1,56084-028
1,56136-302
1,71650-001
1,71650-005
1,71734-310
1,73788-100
1,73928-003
1,73931-016
1,74419-775
1,74621-001
1,74763-001
1,74763-019
1,74970-001
1,75109-510
1,75109-521
1,75427-007
1,75427-009
1,75532-002
1,75601-1003
1,75720-003
1,75742-007
1,58503-801
1,67777-340
1,73788-109
1,74168-007
1,74274-016
1,74458-201
1,74621-011
1,75181-006
1,75265-001
1,75427-001
1,75427-016
1,75427-018
1,75601-1004
1,77975-010
1,80204-018
1,80204-026
1,80204-051
1,81314-302
1,90015-003
1,40562-016
1,42509-005
1,52985-900
1,58133-966
1,58503-805
1,68041-003
1,71734-311
1,73788-104
1,73928-001
1,74201-338
1,74201-845
1,74274-006
1,74621-013
1,74621-016
1,75042-001
1,75109-515
1,75265-022
1,75427-012
1,75771-231
1,75771-241
1,77313-975
1,77975-001
1,78565-003
1,78940-003
1,79866-020
1,80204-001
1,80204-005
1,80204-011
1,80204-014
1,80204-027
1,80204-031
1,80204-040
1,80204-041
1,80204-043
1,80204-045
1,80333-002
1,90039-200
1,40562-009
1,41366-015
1,43473-009
1,43473-220
1,43473-236
1,52000-402
1,52489-001
1,61924-114
1,70445-417
1,71650-031
1,73720-0059
1,73742-102
1,73931-001
1,74046-001
1,74046-004
1,74419-750
1,75109-503
1,75112-009
1,75269-013
1,75532-001
1,75742-005
1,75742-011
1,75742-015
1,77512-008
1,78702-169
1,79821-001
1,80204-003
1,80204-010
1,80204-015
1,80204-017
1,80313-033
1,80856-001
1,86815-008
1,43473-102
1,43473-269
1,52000-401
1,56040-012
1,56084-017
1,56084-025
1,58133-964
2,77049-0012
2,77964-004
2,82083-0006
2,83071-070
2,72176-0700
2,72176-0800
2,73590-0023
2,73590-0034
2,73590-0072
2,81689-070
2,82492-040
2,83071-040
2,71080-0024
2,73590-0032
2,73590-0035
2,73590-0037
2,76731-205
2,81418-020
2,82916-150
2,71217-0051
2,73590-0040
2,73590-0047
2,81733-010
2,82492-010
2,71217-0060
2,72176-0600
2,73590-0022
2,73590-0045
2,73590-0046
2,77964-002
2,77964-006
2,82916-170
2,72176-0500
2,73590-0009
2,73590-0024
2,73590-0031
2,82083-0004
2,82492-020
2,82916-160
2,73590-0039
2,73590-0048
2,73590-0052
2,73590-0054
2,77964-003
2,81715-0004
2,82083-0001
2,83071-060
2,73655-120
2,76731-208
2,71080-0027
2,71217-0050
2,71217-0061
2,73590-0036
2,73590-0053
2,81689-020
2,81733-020
2,82083-0005
2,82083-0013
2,82879-0003
2,83071-050
2,73590-0049
2,81689-040
2,73590-0038
2,73590-0051
2,81689-050
2,81689-060
2,81715-0005
2,81758-010
2,82083-0002
2,82083-0012
2,82492-030
3,77049-0012
3,77964-004
3,81758-020
3,82083-0006
3,83071-070
3,62041-320
3,72176-0700
3,73590-0023
3,73590-0027
3,73590-0072
3,81689-070
3,82492-040
3,83071-040
3,71173-2000
3,73590-0017
3,76731-205
3,81418-020
3,82916-150
3,71217-0051
3,73590-0001
3,73590-0016
3,73590-0047
3,81733-010
3,82492-010
3,71217-0060
3,72176-0600
3,73590-0022
3,73590-0045
3,73590-0046
3,77964-002
3,77964-006
3,82916-170
3,83071-030
3,73590-0002
3,73590-0009
3,73590-0024
3,73590-0025
3,82083-0004
3,82492-020
3,82879-0004
3,82916-160
3,73590-0052
3,82083-0001
