ingredient_id,name,strength
0,ALCOHOL,58.36 g/100mL
1,ALCOHOL,75 mL/100mL
2,ADENOSINE,.04 g/100mL
3,NIACINAMIDE,2 g/100mL
4,HYDROCORTISONE,20 mg/mL
5,BENZALKONIUM CHLORIDE,1.3 mg/mL
6,GEMFIBROZIL,600 mg/1
7,ISOPROPYL ALCOHOL,70 mL/100mL
8,CITRIC ACID MONOHYDRATE,.06 g/100g
9,SODIUM CHLORITE,.05 g/100g
10,ALCOHOL,.75 mL/mL
11,ALCOHOL,817.56 L/1021.95L
12,ALCOHOL,715.4 L/1021.95L
13,PAROXETINE HYDROCHLORIDE,10 mg/1
14,BENZALKONIUM CHLORIDE,.133 1/1001
15,ISOPROPYL ALCOHOL,75 mL/100mL
16,TRAZODONE HYDROCHLORIDE,50 mg/1
17,ALCOHOL,80 mL/100mL
18,PETROLATUM,44.28 g/100g
19,SODIUM FLUORIDE,.22 g/100g
20,ARIPIPRAZOLE,5 mg/1
21,ZINC OXIDE,20 g/100g
22,ALCOHOL,70 mL/100mL
23,HYPOCHLOROUS ACID,.000385 g/100mL
24,ISOPROPYL ALCOHOL,.6 mL/mL
25,ALCOHOL,146 L/209.198L
26,ALCOHOL,331.223 mL/473.176mL
27,ALCOHOL,347.655 mL/473mL
28,ALCOHOL,75 g/100g
29,BENZALKONIUM CHLORIDE,.13 g/100g
30,SODIUM FLUORIDE,.1 g/100g
31,BENZALKONIUM CHLORIDE,13 kg/100kg
32,ALCOHOL,.65 mL/mL
33,ALCOHOL,.7 mL/mL
34,AVOBENZONE,30 mg/g
35,HOMOSALATE,150 mg/g
36,OCTISALATE,50 mg/g
37,OCTOCRYLENE,100 mg/g
38,CYCLOPENTOLATE HYDROCHLORIDE,5 mg/mL
39,SODIUM FLUORIDE,.05 g/100mL
40,ALCOHOL,72 mL/100mL
41,ALCOHOL,62 mL/100mL
42,BENZALKONIUM CHLORIDE,.3 g/100g
43,BENZALKONIUM CHLORIDE,750 mg/250mL
44,SODIUM MONOFLUOROPHOSPHATE,.74 g/100g
45,MOMETASONE FUROATE,200 ug/1
46,FORMOTEROL FUMARATE,5 ug/1
47,ALENDRONATE SODIUM,70 mg/1
48,CHOLECALCIFEROL,2800 [iU]/1
49,GANIRELIX ACETATE,250 ug/.5mL
50,HYDROCHLOROTHIAZIDE,25 mg/1
51,LOSARTAN POTASSIUM,100 mg/1
52,RIZATRIPTAN BENZOATE,10 mg/1
53,TRASTUZUMAB,150 mg/1
54,CYCLOPENTOLATE HYDROCHLORIDE,10 mg/mL
55,DESLORATADINE,5 mg/1
56,BUPROPION HYDROCHLORIDE,300 mg/1
57,BENZALKONIUM CHLORIDE,1 mg/mL
58,HYDROXYZINE PAMOATE,50 mg/1
59,LIDOCAINE,10 mg/mL
60,ALBENDAZOLE,200 mg/1
61,OXYBUTYNIN CHLORIDE,5 mg/1
62,AMLODIPINE BESYLATE,2.5 mg/1
63,TITANIUM DIOXIDE,16.5 mg/mL
64,ZINC OXIDE,110 mg/mL
65,BENZALKONIUM CHLORIDE,1 mg/g
66,ISOPROPYL ALCOHOL,.91 mL/mL
67,ALCOHOL,.69 mL/mL
68,HYDROMORPHONE HYDROCHLORIDE,2 mg/mL
69,BENZALKONIUM CHLORIDE,.1 g/100g
70,DIDECYLDIMONIUM CHLORIDE,.2 g/100g
71,ALCOHOL,4 g/100g
72,AVOBENZONE,.72 g/50g
73,OCTOCRYLENE,2.4 g/50g
74,TITANIUM DIOXIDE,4.5 g/50g
75,SALICYLIC ACID,.15 g/30g
76,ALCOHOL,350 mL/500mL
77,HEPARIN SODIUM,10000 [USP'U]/mL
78,ALCOHOL,74 mL/100mL
79,PHENOBARBITAL SODIUM,130 mg/mL
80,HYOSCYAMINE SULFATE,.12 mg/1
81,METHENAMINE,118 mg/1
82,METHYLENE BLUE,10 mg/1
83,PHENYL SALICYLATE,36 mg/1
84,"SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE",40.8 mg/1
85,ALCOHOL,77.5 mL/125mL
